catalog,model,generated_title,llm_says,llm_pick,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,human_in,llm_dep,llm_in,llm8_in,tset_in,tsort_in,surf_in,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
yelp,claude,Rittenhouse Spa & Club,IN,,,,,,,,,,1,True,True,True,True,True,False,True,Y2Xd0i9Yd6rTDghVBYiDLQ,Qf6Ex-2ZIrNxJb-qVwbvLw,wLzrd4ulKXJN4s_CzZAlgQ,Lw0e3JLpHoxrOzvAoXg3uQ,Xw5taSuL2FhQI4clqq6F-g,08T_q7wWwv9ipOgnTAstxA,OoKgRPvhkxzydV-y1aCMNA,tK4jD4SaomvcGz0Nv0IgjQ
amazon,llama,Magic The Gathering - Commander Deck,IN,Magic The Gathering - Commander Deck - Counterpunch,Magic The Gathering Streets of New Capenna Commander Deck – Bedecked Brokers | Minimal Packaging Version,Ultra Pro Magic The Gathering 100+ Deck Box Commander 2017 v2,Magic The Gathering Innistrad: Crimson Vow Commander Deck – Spirit Squadron (White-Blue) | Minimal Packaging Version,Black Double Metal Deck Box Dice Box for Deck Protector storage Trading Cards TCG Ultra Pro Sleeve MTG Magic the Gathering FaB YGO Yugioh EDH Commander Flesh and Blood TCG,Card Game Magic: The Gathering Innistrad: Midnight Hunt Commander Deck,Ultra Pro Commander 2016 Deck Protector Saskia the Unyielding 120ct Sleeves for Magic the Gathering,Magic: The Gathering Commander 2019 (C19) V4 Deck Protector (100 ct.),"Magic The Gathering Commander Legends: Battle for Baldur’s Gate Commander Deck – Party Time + Collector Booster Sample Pack | Minimal Packaging Version, D10150000",0,False,False,True,False,True,False,False,B09SVNGPGR,B075NRJWGG,B09M76W2QX,B097PMFPHS,B09GTYXP25,B01MSHXUN8,B07SN8C2HM,B09VB4KP78
amazon,gpt-oss,Funko Pop! Keychain: Spider-Man – Collectible Mini Figure,OUT,,"Funko Pop Keychain: Animated Spider-Man Movie - Spider-Man Collectible Figure, Multicolor","Funko Pop Keychain: Animated Spider-Man Movie - Miles Morales Spider-Man Collectible Figure, Multicolor","Funko Pop! Keychain: Marvel - Spider-Man: No Way Home, Friendly Neighborhood Spider-Man",Funko Pocket Pop! Keychain: Marvel Spider-Man - Miles Morales (Gamer) Glows in The Dark Exclusive,"Funko Pop! Keychain: Marvel - Spider-Man: No Way Home, Spider-Man",Funko Pop! Keychain: Spider-Man Far from Home - Spider-Man Stealth Suit,Funko POP Keychain: Marvel - Spider-Man Action Figure,Funko POP Keychain Spider-Man Homecoming Spider-Man Homemade Suit Action Figure,7,True,False,False,True,True,False,False,B07DFF22F1,B07DFBJRBK,B0B6GBD6HG,B088XWKDX5,B0BJTDFXK3,B07ZP54553,B00Z0FG7HA,B06WW8XKYL
amazon,llama,Magic the Gathering: MTG Ravnica Allegiance Theme Deck,OUT,,MTG Magic The Gathering Ravnica Allegiance Booster Box + Bundle + Both Planeswalker Decks,Magic the Gathering RTR: MTG: Return to Ravnica Intro Pack: Rakdos Raid Theme Deck (Includes 2 Booster Packs),Magic The Gathering RTR: MTG: Return to Ravnica Intro Pack: Azorius Advance Theme Deck (Includes 2 Booster Packs),Magic the Gathering MTG Ravnica City of Guilds Dimir Intrigues Theme Deck,Magic the Gathering MTG Ravnica City of Guilds Charge of the Boros Theme Deck,"Magic: The Gathering - Dovin, Architect of Law - Foil Planeswalker Deck Exclusive - Ravnica Allegiance",Magic: The Gathering Ravnica Allegiance Deck Builder's Toolkit | 4 Booster Packs | 125 Cards,"Magic: The Gathering - Domri, City Smasher - Foil Planeswalker Deck Exclusive - Ravnica Allegiance",0,False,False,False,False,False,False,False,B07LC136SD,B009L72E6Q,B009L6XWGS,B000H2W44Q,B000H31SO2,B07MMHDB4L,B07H9LV3DV,B07MJY1HF4
movielens,mistral,Logan,IN,,,,,,,,,,6,True,True,True,True,True,True,True,2528,96146,117549,134198,166508,168252,172059,174909
yelp,mistral,Santa Barbara Wine Country,OUT,,,,,,,,,,1,True,False,False,False,True,False,False,TvBxBjed-iX6_22SwEYEFQ,ijU7hEUbD1Nq7KKbi4nyeQ,7sOqa_LFDHEtiFzNFZBw4A,V8dZigOlI5fjpRxgOWwY3g,HUGDGGMCUYBAMtUpJohTqQ,OygPSSuDpubinWKKXWVKKA,fO89arPgWzq_1YYQYLS4Yw,TWLH8nel96VXhKsuZ-R4sQ
movielens,llama,The Dark Crystal,IN,,,,,,,,,,1,True,True,True,True,True,True,True,2140,168800,41014,59615,105254,106525,117454,129784
yelp,claude,Ambler Restaurant & Bar,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,Ax2r0idPQ81vmX37QMwFpA,sXyYBK2AnpJLYqbVR1asPg,Ar_8YUzqeb5FwthWBY-SSA,qD6EoM0lbEA-0tfPTO9qpw,ZwwqYNpruM6g2zGC3wcHdA,2lKwvLM4ENjSqIUpVgvb2A,OyFrPyUDYLRfuwv0BjewjA,avlwCvHzrhU5UOvz1Y3_gQ
amazon,gpt-oss,Paw Patrol Adventure Board Game – Family Game Night for Ages 4+,IN,Paw Patrol Adventure Board Game,Zygomatic Spot It! Paw Patrol Card Game | Matching Game | Fun Kids Game for Family Game Night | Travel Game for Kids | Great Gift for Kids | Ages 4+ | 2-5 Players | Avg. Playtime 10 Mins | Made,"Magformers Paw Patrol 36 Pieces Skye Adventure Set, Pink and Purple Colors, Educational Magnetic Geometric Shapes Tiles Building STEM Toy Set Ages 3+","Paw Patrol, True Metal Adventure Bay Rescue Way Toy Playset with 2 Exclusive Die-Cast Vehicles, 1:55 Scale",Melissa & Doug PAW Patrol Activity Rug - Adventure Bay (22 Pieces),Paw Patrol Adventure Beach Beach Tower,Paw Patrol Skye Wooden Magnetic Doll and Adventure Book,Paw Patrol Adventure Board Game,"Paw Patrol, Adventure Bay Railway Track Set with Exclusive Vehicle, by Spin Master",7,True,True,True,True,True,False,False,B09DRF92B2,B07BYQWXZW,B0C5S1H2MT,B08XTVH4YQ,B074BT2R26,B07711VLSZ,B00N46TECC,B019HOZKLI
yelp,llama,Cafe Passe,IN,,,,,,,,,,1,True,True,True,True,True,True,True,wm23rnUccF_3en3NSN7afw,upf9BnmbiMvTxWUmBSLtog,bl1iirh_xT3KEUOVwi4e4g,bl1iirh_xT3KEUOVwi4e4g,-PGe8XbKh-vXkr57GKNEAw,BJT8Z-OnsLQiWph02NTcaA,bl1iirh_xT3KEUOVwi4e4g,29YqJwOGEuAWqlHZxMc1OA
amazon,gpt-oss,Disney Frozen 2 Elsa & Anna Plush Set – 12‑Inch Soft Toys,OUT,,"Disney Frozen 2, 25-Piece Foam Jigsaw Puzzle Toy for Girls & Boys Elsa Anna Olaf Winter Snow Movie Merch Party Favor, for Kids Ages 4 and up","Disney Frozen Petite Anna & Elsa Dolls with Surprise Trolls Gift Set, Each Doll is Approximately 6 inches Tall - Includes 2 Troll Friends! Perfect for Any Frozen Fan!",MALLMALL6 30Pcs Princess Centerpiece Sticks Birthday Party Decorations Frozen Theme Party Supplies Table Toppers Elsa Anna Stickers Party Favors Winter Snowflakes Room Decor Photo Booth Props for Kids,"Bendon Disney Frozen Princess Board Book Set Storybook Set Featuring Anna, Elsa, Belle, Ariel, Cinderella, and More",Disney Frozen Elsa & Anna Headband,"Frozen Birthday Party Supplies, Frozen Birthday Decorations,Frozen Birthday Balloons Include 15"" Elsa ,32 ""Anna and 30"" Olaf Foil Balloon, Snowflake Balloon Decorations, Include Happy Birthday Banner","8-PC Doll Gift Set: 3.75 Disney Princess, featuring Anna and Elsa from Frozen","13 pc Disney Frozen Party Balloons: Jumbo Olaf , Elsa Anna Round, 5 Pink 5 Purple Latex",0,False,False,False,False,False,False,False,B07RZ9FZL2,B07KXNMP8X,B07WD451B5,B00OIBS2DE,B00LK0SKM4,B08JTRBKZS,B00OL2NXE8,B00J7ZB8JG
yelp,gpt-oss,The Grove Coffee House,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,D-NWrg9OVKIpHm0a74Pj_Q,aoRv_tZfoGHjXkPqy94ryQ,QhSDCFHTh5_T-fCb3T_qcg,8YJtf5v76SIz-4udyF4YmA,hK59rATCI9o_rmeQu57RWw,Jx2AoB_IQOUrZ3s6fdAUSA,GqQSFMLaM25zcM5OnCWnnQ,0-XYsSxJhu8ayKx1f3v_tA
movielens,mistral,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",IN,,,,,,,,,,1,True,True,True,True,True,True,True,3070,172965,80183,154568,180153,141048,146990,160802
movielens,llama,Braveheart,IN,,,,,,,,,,1,True,True,True,True,True,True,True,110,26966,115763,653,3706,73023,89720,95167
yelp,llama,El Vez,IN,,,,,,,,,,1,True,True,True,True,True,True,True,9PZxjhTIU7OgPIzuGi89Ew,4LrEs997FOYEGmmBUUeqRA,qkRM_2X51Yqxk3btlwAQIg,xa6JYHDgVza7CuenKBJBHw,Rz0KfP7YAZV_yQE8uIB0fg,fCRGXD-TTLgNhaC4mVFFJQ,-lVTNjVoTMOkD-eT--u0oA,3Kj0DlqXWTGqi6GUsM0Nfg
yelp,gpt-oss,The Cat Café,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,cVBxfMC4lp3DnocjYA3FHQ,xa28v84RtUPWQKuw_UQBXQ,UFpCraqzFBAhtZqmxmiWsA,JbFsyY7pi85oaY4DoAgwCA,HsI2szO4K5t-EYyDxLfLjQ,4UVdviVigr9oo2YSwA0B4w,xk2BZOP5CZfxyr4veOgSPw,PqW2yYel66W0lhZXemH-ZQ
amazon,llama,Marvel Spider-Man Web Slinger,OUT,,"Marvel Spider-Man Super Web Slinger, 2-In-1 Shoots Webs or Water, Spider-Man Web Shooter Toy, Role-Play Toys, 5 Year Old Boys and Girls and Up",Marvel Ultimate Spider-Man Web Warriors Spider-Man Color Shock Slinger (Classic),"Marvel Spider-Man Super Web Slinger, 2-in-1 Shoots Webs or Water, Spider-Man Web Shooter Toy, Role-Play Toys, Spider-Man Toys for 5 Year Old Boys and Girls and Up","Marvel Spider-Man: Across The Spider-Verse Spider-Gwen Web-Shot Slinger Mask and Blaster Set, Spider-Man Web Shooter Toy, Super Hero Toys for 5 Year Old Girls and Boys and Up",Spider-Man Marvel Adventures Playskool Heroes Web-Slinger and Mask Set,"Spider-Man Marvel Web Shots Gear Disc Slinger Blaster Toy, Includes 3 Web Projectiles, for Kids Ages 5 and Up",Spider-Man B2151000 Marvel Ultimate Spider-Man Web Warriors Iron Spider Color Shock Slinger Action Figure,Spider-Man Basic Web Blaster Rope Slinger,1,True,False,False,False,True,False,False,B01IK52J5U,B00RGGRZ4A,B08TPRS188,B09QDWXYWV,B008VWI90C,B07ZZVJ1Y4,B00RGGRZ1I,B000M6B3CG
yelp,gpt-oss,Tampa Bay History Center,IN,,,,,,,,,,1,True,True,True,True,True,True,True,bWgi0dQSRbTa44YZS6YtyA,TD4fvL-JepkVtS9fMfRm_g,u4cktT_mzitYexUsr_vKsw,Vhs2KfLvpVAEqjDiwWgFVA,U3yYoDv1MpSoW7VOMcYISA,HsI2szO4K5t-EYyDxLfLjQ,7Pq3EBuMucjvt0NMRxD-vQ,P0yKtQ4cFjNTY1X2CIdzBw
amazon,mistral,Little Tikes EasyScore Basketball Set,IN,Little Tikes EasyScore Basketball Set,"Little Tikes EasyScore Basketball Set Blue, 22"" L x 23.75"" W x 60"" H",Little Tikes EasyScore Basketball Set,Toddler & Little Kids Replacement Basketball - for Little Tikes EasyScore Basketball Hoop (Orange) & Toddler & Little Kids Mini Replacement Balls - for VTech Smart Shots Sports Center,"2 Little Tikes EasyScore Mini Basketballs, Toddler & Kids, Set of 2",Little Tikes TotSports Basketball Set,"Little Tikes T-Ball Set, Red, 5 Ball Amazon Exclusive with Little Tikes Easy Score Basketball Set - 3 Ball Bundle",Little Tikes LeBron James Family Foundation Dream Big Attach 'n Play Basketball Set,Little Tikes Huge Inflatable Backyard Soccer & Basketball Court for Multiple Kids,2,True,True,True,True,True,True,True,B08GGHG8S6,B00000J4I6,B09XMVLLWT,B078QDRZ39,B001FCOYEK,B0764ML12Z,B01CP7BPUE,B08L72DR2F
yelp,mistral,Clementine's Creamery,OUT,,,,,,,,,,1,True,True,False,False,True,False,False,fC03dk7N8XV-RzGh0UJgmA,fC03dk7N8XV-RzGh0UJgmA,YyXjo3Csp8yAPMm6Liflsg,fC03dk7N8XV-RzGh0UJgmA,fC03dk7N8XV-RzGh0UJgmA,4kmapvNsuEXEz4flyynbCQ,9582WUc5l40_vQUWDLKxOA,sc-MRSa8K0BTE5m3tmgrQw
movielens,gpt-oss,The Iron Giant (1999),IN,,,,,,,,,,1,True,True,True,True,True,True,True,2761,661,948,1839,3931,5115,5356,8138
yelp,gpt-oss,The Crafty Thrift & Vintage,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,LMd312IyPyPJiV16Sqc_4A,mMXCzZxa-cKz2XPSkvz7wA,LMd312IyPyPJiV16Sqc_4A,LMd312IyPyPJiV16Sqc_4A,72_X-wxr9TyT6OqYb-y0sA,WYsyWRp12yyxp1QLUnXz4w,CczaLGn5dIbkiZ66tlz5-Q,LMd312IyPyPJiV16Sqc_4A
amazon,mistral,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Truck Playset,OUT,,"Play-Doh Kitchen Creations Ultimate Ice Cream Truck Toy Playset, Food Truck Toys for Kids, 27 Accessories, 12 Cans, Preschool Toys for 3 Year Old Girls & Boys and Up, Non-Toxic",Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colours - Exclusive to Amazon - Amazon Exclusive,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colors Toy,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colours,"Play-Doh Kitchen Creations Ice Cream Truck Toy Playset for Kids, 20 Play Kitchen Accessories, 5 Colors, Preschool Toys for 3 Year Old Girls and Boys and Up",Play-Doh Kitchen Creations Swirl 'n Scoop Ice Cream,HASAYAQI Play Do Kitchen Creations Noodle Party & Ultimate Swirl Ice Cream Maker Play Food Playdough Sets for Kids 3 Years and Up,"Play-Doh Kitchen Creations Double Drizzle Ice Cream Playset for Kids 3 Years and Up with 2 Drizzle Colors and 4 Classic Cans, Non-Toxic",1,True,True,False,False,True,False,False,B0BNP1SB3C,B07DY8X2X6,B0767B4S4F,B079VSJDZQ,B0BQKPFBY3,B00N3T3Q60,B0BWY8GN4M,B0864L2T48
movielens,llama,Se7en,IN,,,,,,,,,,1,True,True,True,True,True,False,True,47,159425,1487,4985,116781,166743,194965,1815
yelp,gpt-oss,Greek Market at St. Demetrios,OUT,,,,,,,,,,0,False,False,False,True,False,False,False,J0W2PFAS1PS-OzkUdi4Z2Q,lEmpcnfaI6AHu4D5YUc7fg,VjtTBJqC5PM7QDsWxFNS_w,xUA4DGdKSkcZJzbM30rw9Q,88ZFh7FLS_LFNrSn6FURWg,fSKt3g1XikesirNZ7EAbOw,88ZFh7FLS_LFNrSn6FURWg,lqXpryNY7aQP4VU_UE3hkw
amazon,llama,Star Wars The Black Series Action Figures,OUT,,"STAR WARS Retro Collection 4-LOM & Zuckuss, 2-Pack, The Empire Strikes Back 3.75-Inch Collectible Action Figures, Ages 4 and Up (Amazon Exclusive) (F6983)",Star Wars The Black Series Astromech Droids 3 3/4-Inch Action Figures,"STAR WARS Retro Collection The Emperor, Return of The Jedi 3.75-Inch Collectible Action Figures, Ages 4 and Up (F7275)","STAR WARS Celebrate The Saga Toys Sith Action Figure Set 5-Pack, 3.75-Inch-Scale Collectible Figures, Toys for Kids Ages 4 and Up","STAR WARS Retro Collection Princess Leia Organa (Boushh), Return of The Jedi 3.75-Inch Collectible Action Figures, Ages 4 and Up (F7278)",LEGO Japan Star Wars Building Double Figures OBI-Wan Kenobi 75109AF27,"STAR WARS Micro Galaxy Squadron Starship Class Razor Crest - 7-Inch Vehicle with 1-Inch Mandalorian, Greef Karga and Grogu Micro Figures","ProTech AFS-2C Clear Action Figure Stands for Vintage 3.75"" Star Wars Figures, 2"" Wide, 1/8"" Peg, 100-Pack",0,False,True,False,True,True,False,False,B0BGJML8RY,B01KGRBS3E,B0B3G4VTVS,B08B5L341T,B0B3G3QL32,B00SDTTRYA,B0BFZZ16G6,B07MRB44Q8
amazon,gpt-oss,Funko POP Marvel: Black Widow (Winter Soldier) Vinyl Figure,OUT,,"Pop! Marvel: Captain America: Civil War Captain America, Iron Man, Black Widow, Scarlet Witch, Black Panther, Winter Soldier, War Machine, Agent 13 and Crossbones Vinyl Figures! Set of 9",Marvel: Falcon and The Winter Soldier - Baron Zemo Funko Pop! Vinyl Figure (Bundled with Compatible Pop Box Protector Case),Funko Pop! Marvel: The Falcon and The Winter Soldier - Falcon (Flying) Vinyl Figure (Bundled with Pop Box Protector Case),Marvel: Falcon and The Winter Soldier - John F. Walker as U.S. Agent Funko Pop! Vinyl Figure (Bundled with Compatible Pop Box Protector Case),"POP Marvel: Falcon and The Winter Soldier - Winter Soldier Funko Pop! Vinyl Figure (Bundled with Compatible Pop Box Protector Case), Multicolor, 3.75 inches","POP Marvel: Avengers Infinity War - Bucky Barnes (Winter Soldier) Funko Pop! Vinyl Figure (Bundled with Compatible Pop Box Protector Case), Multicolor, 3.75 inches",Marvel Legends Infinite 6 Inch Action Figure Captain America Winter Soldier - Black Widow,"Marvel Hasbro Black Widow Legends Series 6-inch Collectible Winter Soldier Action Figure Toy, Premium Design, 2 Accessories, Ages 4 and Up",0,False,False,False,False,False,False,False,B01A7I0U36,B09RW52S63,B07GX7LYP6,B09KJ5Z223,B09HJWNLHS,B09DXN5PSS,B00HFUWCFY,B07ZQYRCY4
amazon,mistral,Yu-Gi-Oh! - Elemental Hero Wildheart (LCGX-EN050) - Legendary Collection 2 - 1st Edition - Rare,OUT,,YU-GI-OH! - Elemental Hero Shining Flare Wingman (LCGX-EN050) - Legendary Collection 2 - 1st Edition - Secret Rare,YU-GI-OH! - Elemental Hero Glow Neos (LCGX-EN061) - Legendary Collection 2 - 1st Edition - Rare,YU-GI-OH! - Elemental Hero Divine Neos (LCGX-EN077) - Legendary Collection 2 - 1st Edition - Ultra Rare,YU-GI-OH! - Elemental Hero Chaos Neos (LCGX-EN065) - Legendary Collection 2 - 1st Edition - Ultra Rare,YU-GI-OH! - Elemental Hero Phoenix Enforcer (LCGX-EN138) - Legendary Collection 2 - 1st Edition - Super Rare,YU-GI-OH! - Elemental Hero Darkbright (LCGX-EN063) - Legendary Collection 2 - 1st Edition - Super Rare,YU-GI-OH! - Elemental Hero Magma Neos (LCGX-EN064) - Legendary Collection 2 - 1st Edition - Super Rare,Yu-Gi-Oh!! - Elemental Hero Steam Healer (LCGX-EN051) - Legendary Collection 2 - 1st Edition - Rare,0,False,False,False,False,True,False,False,B0062DWPTI,B0062DWR2I,B0062DWNNG,B0062DWJJE,B0062DX97K,B0062DWMMI,B0062DX416,B0062DXEMK
yelp,gpt-oss,The Sweet Spot Bakery,OUT,,,,,,,,,,2,True,False,False,False,True,False,False,HxlFnUI9-RNKlKD2zUwzWQ,CLzPxFpQSLCGrYNsj-lCDA,QAMJIJQ7SMO-C5xUN37iIw,CLzPxFpQSLCGrYNsj-lCDA,xvzsFqLC__nyri2ch3Pgmg,kL58jpRgMK322KP5B7iGIA,kyxf8dlzu9CiEBbRlQzBPA,CLzPxFpQSLCGrYNsj-lCDA
yelp,gpt-oss,Wanderlust Outdoor Gear,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,1vWFRQaCeEbVzgWdVmzw3g,5flY0_J278cC1MQMcAb_HA,UN1ZMropPN_Vo3gPMPGkXA,RzKHpILaR1nAKDHeKxVY8A,pqW5dIZFoBsqA1LENQmOow,w0aoEbTASSoAO8EOCPFdvg,VnbeCmUEpiTgfzjzE9i4Bw,dYq_ReSJExdCEaa4vI5Gbg
yelp,mistral,Federal Donuts,IN,,,,,,,,,,1,True,True,True,True,True,True,True,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA,41LEg4ZgFDVnZfToxGXiGA
movielens,claude,The Long Kiss Goodnight (1996),IN,,,,,,,,,,1,True,True,True,True,True,True,True,1047,42213,119432,134979,138532,139655,162798,167776
yelp,mistral,I Love Sushi Nashville,IN,,,,,,,,,,1,True,True,True,True,True,True,True,y5OovQyNsJ77O0AR2XPIww,o7rnojK3FKPP7PMwt7eB9g,o7rnojK3FKPP7PMwt7eB9g,oeGv2lfbSMfwZ0x7jvOQdQ,UYkbkXVD-wK3OhXQrNJTGg,YbpNzwI5iBvsBDwdwc9Mmg,D4DIIe_gFr76YMl1iW1knQ,CneZ4q2u_tPsPTuXdL-FHg
amazon,mistral,"Barbie Dreamhouse Playset with 70+ Accessories, Elevator, Pool, and Lights",IN,"Barbie DreamHouse, Doll House Playset with 75+ Furniture & Accessories, 10 Play Areas, Lights & Sounds, Wheelchair-Accessible Elevator","Barbie 60th Celebration DreamHouse Playset (3.75 ft) with 2 Exclusive Dolls, Car, Pool, Slide, Elevator, Lights & Sounds, 100+ Pieces, 3 Year Olds & Up","Barbie DreamHouse, Doll House Playset with 75+ Furniture & Accessories, 10 Play Areas, Lights & Sounds, Wheelchair-Accessible Elevator","Barbie Dreamhouse 2023, Pool Party Doll House with 75+ Pieces and 3-Story Slide, Barbie House Playset, Pet Elevator and Puppy Play Areas​",Mattel Replacement Parts for Barbie Dreamhouse Playset - GNH53 ~ Replacement Elevator,"Dreamy Dollhouse Playset with Elevator,Slide,Stairway,Lights,Furniture,Accessories,Pretend Play Dreamhouse with 3 Dolls& 2 Pets,Best DIY Doll House for 3 4 5 6 7 8 Year Old Kids Girls (13 Rooms)","Barbie Dreamhouse Dollhouse with Pool, Slide and Elevator",Fisher-Price Little People Barbie Toddler Toy Little Dreamhouse Playset With Music Lights Sounds & 7 Pieces For Ages 18+ Months,"Barbie Dreamhouse 3 floors, 7 rooms and a working elevator let kids dream up all kinds of stories, from a fun night in to getting ready for girls' night out",0,False,True,True,True,True,False,False,B09QLJJ1PX,B0C87LKLLC,B0BLJTJ38M,B08ZD5F1J2,B0BWRTGXCB,B08MT2K1W1,B0C6W82QD3,B01CJ50QNY
movielens,mistral,Children of Men,IN,,,,,,,,,,1,True,True,True,True,True,True,True,48774,119068,29,1105,1156,1516,1900,2122
yelp,claude,Hendricks BBQ,IN,,,,,,,,,,1,True,True,True,True,True,True,True,0wQCEcpZ57TmTm6EmEDsIw,Nf5Y8HxkN0YJlNAgTVC9UQ,vZ60surTYdp7HOeanqyLKQ,nCimk6eM8F9Uy4GonC1vng,0INrDX--UuVvHVKpk4mL5Q,AWcelHEIYKzk348Q2htKmQ,WE0nf7uQCP_bpv-dGW794Q,P10BsKUeoeCeVoK4BS2u0w
movielens,llama,The Big Lebowski (1998),IN,,,,,,,,,,1,True,True,True,True,True,True,True,1732,54,75,119,148,569,641,847
amazon,mistral,Toddler Play Kitchen Set with Realistic Accessories,OUT,,"GILOBABY Mini Kitchen Playset, Pretend Play Cooking Toys with Realistic Sink and Play Food Accessories, Ideal Early Learning Educational Role Play Toy Birthday for Kids Toddler Children","Pretend Play Food Set,Toy Food for Toddler Kids Kitchen Playset,Realistic Vegetables Fake Food Toy Kitchen Accessories,Soft Squeeze Toy Food Assortment","Pink Kitchen Playset Pretend Food, Fun Play Kitchen Set for Kids, Pink Kitchen w/ Realistic Lights & Sounds, Kids Kitchen Playset, Kitchen Accessories Set Toddler playset for Kids Toddlers Ages 3-8",UNIH Play Kitchen Toy for Girls Pretend Pink Kids Kitchen Playset Toddler Toy with Realistic Lights & Sounds and Other Kitchen Accessories Toys for Kids Gift,"UKBOO Kids Kitchen Playset with Realistic Steam & Light, Toddler Kitchen with Play Kitchen Accessories, Mini Kitchen Set, Pretend Play Food for Boys and Girls - Kitchen Toys Pink","Little Brown Box Kids Pink Plastic Kitchen Playset Toy, Pretend Play, Cookware Set, Dishes, Pretend Food W/ Sink, Realistic Steam, Lights & Music - Gift for Toddler, Children, Girls 3,4,5 Years","Joyooss Toy Kitchen for Toddler, 43 PCS Kids Kitchen Set with Play Sink with Running Water, Realistic Light & Sound, Temperature Sensing Play Food for Boys & Girls - Blue","Mini Toys Kids Kitchen Playset,Toddler Girl Toys with Realistic Lights and Sounds,Kids Toys Kitchen Accessories with Kitchen Sink,Microwave Oven,Water Dispenser,Stove,Double Oven,and Other Items.",0,False,False,False,False,True,False,False,B088PFXQ7K,B0B6N6L8ZB,B09FGLG1N6,B08F58Z31M,B0B5L4L32W,B08F4D1S92,B08F9BQX8J,B09GJZ1N1Y
yelp,gpt-oss,Harmony Yoga Studio,OUT,,,,,,,,,,0,False,False,False,False,True,False,False,U_CN8t4N2iSVuj_5Aqcjzg,DSW2XVPyRLgVmNLsBpzzvA,DcnWM3H1MaUcAMqSWXiT8g,jyonW-D1Xob4UXRGobv8GQ,zveRIUhrb9_XLINjFgm4mA,vvE3HVfxlx9UYctKPr0dbw,xnWMM4oCFmGoitOcs81AEA,ilI1LzdH4xXiVTDxWmluZA
amazon,claude,Crayola Washable Kids Paint Set,IN,CYO541205 - Crayola Crayola Washable Kids Paint Set,Crayola Washable Finger Paint Easy Squeeze Bottles Family Fun For All Ages Set Of 2 (12 3 OZ Bottles 2 of each color),"Crayola Artista II Washable Liquid Tempera Paint, Set of 12, 16oz , Assorted Colors (54-8216)","Crayola Washable Tempera Paint For Kids, Yellow Paint, Classroom Supplies, Non Toxic, 32 Oz Squeeze Bottle",Crayola Washable Kid's Paint Assorted Colors 18 Each (Pack of 6),"Crayola Kids' Paint Washable, Assorted Colors 6 Bottle, 2 Fl. Oz. Each ( Case of 6 )","Crayola Washable Kids Paint Set, 12 Ct, Back To School Craft Supplies, Classic and Glitter Paint, Preschool [Amazon Exclusive] & Paint Paper, 25Pgs","Crayola Super Art Coloring Kit, Tub Colors Vary, Amazon Exclusive, 100+ Pcs, Gift for Kids & Washable Kids Paint, 6 Count, Kids At Home Activities, Painting Supplies, Gift, Assorted","Crayola LLC : Paint Brush Pens, Washable, Nontoxic, 5/PK, Assorted -:- Sold as 2 Packs of - 5 - / - Total of 10 Each",0,False,True,True,False,True,False,False,B07C4QN2ZB,B07JZD2FZJ,B08KT5P31C,B06XG8S761,B013GA002S,B0BJQ1DHTQ,B08J8MKGH9,B002ZZ22A4
movielens,gpt-oss,Oldboy (2003),OUT,,,,,,,,,,0,False,False,False,False,True,True,False,107314,160181,141660,5393,74284,86000,90809,131574
yelp,claude,The Stage on Broadway,IN,,,,,,,,,,1,True,True,True,True,True,True,True,sO1OD0SZkXXPtIXj2cS4oA,VbUDx8w9hWMh6GvgTqhuuQ,46fEorqn2nVbxdclHdHdKg,44CGMbwgAXCPBXB-7V3B2Q,SKgD0jRWVKk3NqOtSs3VFA,T0sSfnKYt6-aGSL7HOTseg,rMDTNc3huxGRGYqdNgD9ew,e-BD1z1Eomfde6fqhtAarQ
